Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
Radovi Zavoda za povijesne znanosti HAZU u Zadru	1330-0474	1330-0474	HISTORY - AHCI	N/A	N/A	0.03
THEOLOGY TODAY	0040-5736	2044-2556	RELIGION - AHCI	N/A	N/A	0.31
Alpha-Revista de Artes Letras y Filosofia	0716-4254	0718-2201	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.17
MINNESOTA REVIEW	0026-5667	2157-4189	LITERARY REVIEWS - AHCI	N/A	N/A	0.44
AMERICAN BOOK REVIEW	0149-9408	2153-4578	LITERATURE - AHCI	N/A	N/A	0.00
Glossa-A Journal of General Linguistics	N/A	2397-1835	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.08
Dix-Neuf	1478-7318	1478-7318	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.51
JOURNAL OF SOCIAL ARCHAEOLOGY	1469-6053	1741-2951	ARCHAEOLOGY - AHCI	N/A	N/A	1.30
Romani Studies	1528-0748	1757-2274	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.87
Sungkyun Journal of East Asian Studies	1598-2661	N/A	ASIAN STUDIES - AHCI	N/A	N/A	0.95
Estonian Journal of Archaeology	1406-2933	1736-7484	ARCHAEOLOGY - AHCI	N/A	N/A	0.51
REVISTA DE OCCIDENTE	0034-8635	0034-8635	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.15
NORTH AMERICAN ARCHAEOLOGIST	0197-6931	1541-3543	ARCHAEOLOGY - AHCI	N/A	N/A	0.24
Anuario de Estudios Medievales	0066-5061	1988-4230	MEDIEVAL & RENAISSANCE STUDIES - AHCI	N/A	N/A	1.05
Classical Receptions Journal	1759-5134	1759-5142	CLASSICS - AHCI$HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	1.09
JOURNAL OF MATERIAL CULTURE	1359-1835	1460-3586	ARCHAEOLOGY - AHCI$CULTURAL STUDIES - AHCI	N/A	N/A	0.79
HISTORICAL REFLECTIONS-REFLEXIONS HISTORIQUES	0315-7997	1939-2419	HISTORY - AHCI	N/A	N/A	0.65
World Englishes	0883-2919	1467-971X	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.13
Rhetoric Society Quarterly	0277-3945	1930-322X	LITERATURE - AHCI$PHILOSOPHY - AHCI	N/A	N/A	2.42
AJS Review-The Journal of the Association for Jewish Studies	0364-0094	1475-4541	HISTORY - AHCI$RELIGION - AHCI	N/A	N/A	0.95
NEW YORK TIMES BOOK REVIEW	0028-7806	0028-7806	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.00
International Journal of the Classical Tradition	1073-0508	1874-6292	CLASSICS - AHCI$HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	1.46
International Journal of Cultural Policy	1028-6632	1477-2833	CULTURAL STUDIES - AHCI	N/A	N/A	1.82
NEOPHILOLOGUS	0028-2677	1572-8668	LANGUAGE & LINGUISTICS - AHCI$LITERATURE - AHCI	N/A	N/A	0.84
EARLY MUSIC	0306-1078	1741-7260	MUSIC - AHCI	N/A	N/A	0.44
International Journal of Corpus Linguistics	1384-6655	1569-9811	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.96
Phonology	0952-6757	1469-8188	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	1.08
NUOVA RIVISTA STORICA	0029-6236	N/A	HISTORY - AHCI	N/A	N/A	0.37
HARVARD JOURNAL OF ASIATIC STUDIES	0073-0548	1944-6454	ASIAN STUDIES - AHCI$HISTORY - AHCI	N/A	N/A	0.65
British Journal of Canadian Studies	0269-9222	1757-8078	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.40
African Archaeological Review	0263-0338	1572-9842	ARCHAEOLOGY - AHCI	N/A	N/A	0.95
Ergo-An Open Access Journal of Philosophy	2330-4014	2330-4014	PHILOSOPHY - AHCI	N/A	N/A	1.49
JOURNAL OF CANADIAN STUDIES-REVUE D ETUDES CANADIENNES	0021-9495	1911-0251	HUMANITIES, MULTIDISCIPLINARY - AHCI	N/A	N/A	0.81
WILLIAM AND MARY QUARTERLY	0043-5597	1933-7698	HISTORY - AHCI	N/A	N/A	4.73
Philosophia Africana	1539-8250	1944-7914	PHILOSOPHY - AHCI	N/A	N/A	0.48
Argumentation	0920-427X	1572-8374	LANGUAGE & LINGUISTICS - AHCI$PHILOSOPHY - AHCI	N/A	N/A	1.07
ZEITSCHRIFT FUR SLAWISTIK	0044-3506	N/A	LANGUAGE & LINGUISTICS - AHCI	N/A	N/A	0.11
JOURNAL OF THEOLOGICAL STUDIES	0022-5185	1477-4607	RELIGION - AHCI	N/A	N/A	0.61
INTERNATIONAL HISTORY REVIEW	0707-5332	1949-6540	HISTORY - AHCI	N/A	N/A	1.84
CRITIQUE-STUDIES IN CONTEMPORARY FICTION	0011-1619	1939-9138	LITERATURE - AHCI	N/A	N/A	1.25
AMERICAN HISTORY	1076-8866	N/A	HISTORY - AHCI	N/A	N/A	0.01
Romanticism	1354-991X	1750-0192	LITERATURE - AHCI	N/A	N/A	0.56
Osmanli Arastirmalari-The Journal of Ottoman Studies	0255-0636	0255-0636	ASIAN STUDIES - AHCI$HISTORY - AHCI	N/A	N/A	0.14
SCANDINAVICA	0036-5653	0036-5653	LITERATURE, GERMAN, DUTCH, SCANDINAVIAN - AHCI	N/A	N/A	0.38
CHICAGO REVIEW	0009-3696	2327-5804	LITERARY REVIEWS - AHCI	N/A	N/A	0.52
BOUNDARY 2-AN INTERNATIONAL JOURNAL OF LITERATURE AND CULTURE	0190-3659	1527-2141	CULTURAL STUDIES - AHCI$LITERATURE - AHCI	N/A	N/A	1.23
