Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
Mathematical Population Studies	0889-8480	1547-724X	MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE$STATISTICS & PROBABILITY - SCIE	1.355	Q3	0.38
Journal of Mineralogical and Petrological Sciences	1345-6296	1349-3825	MINERALOGY - SCIE	1.041	Q4	0.30
STRAHLENTHERAPIE UND ONKOLOGIE	0179-7158	1439-099X	ONCOLOGY - SCIE$RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE	4.033	Q2	0.79
M S-MEDECINE SCIENCES	0767-0974	1958-5381	MEDICINE, RESEARCH & EXPERIMENTAL - SCIE	0.716	Q4	0.13
AMERICAN JOURNAL OF SURGICAL PATHOLOGY	0147-5185	1532-0979	PATHOLOGY - SCIE$SURGERY - SCIE	6.298	Q1	2.24
HEREDITY	0018-067X	1365-2540	ECOLOGY - SCIE$EVOLUTIONARY BIOLOGY - SCIE$GENETICS & HEREDITY - SCIE	3.832	Q2	0.92
Cell Stem Cell	1934-5909	1875-9777	CELL & TISSUE ENGINEERING - SCIE$CELL BIOLOGY - SCIE	25.269	Q1	4.15
PROTIST	1434-4610	1618-0941	MICROBIOLOGY - SCIE	2.656	Q4	0.56
INVENTIONES MATHEMATICAE	0020-9910	1432-1297	MATHEMATICS - SCIE	3.128	Q1	2.74
Austrian Journal of Forest Science	0379-5292	0375-524X	FORESTRY - SCIE	1.143	Q4	0.41
FERROELECTRICS LETTERS SECTION	0731-5171	1563-5228	PHYSICS, CONDENSED MATTER - SCIE	0.500	Q4	0.10
JOURNAL OF GENETIC PSYCHOLOGY	0022-1325	1940-0896	PSYCHOLOGY - SCIE	1.333	Q4	0.43
REVIEW OF SCIENTIFIC INSTRUMENTS	0034-6748	1089-7623	INSTRUMENTS & INSTRUMENTATION - SCIE$PHYSICS, APPLIED - SCIE	1.843	Q3	0.40
BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY	0885-4513	1470-8744	BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE$BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE	2.724	Q3	0.47
ACS Infectious Diseases	2373-8227	N/A	CHEMISTRY, MEDICINAL - SCIE$INFECTIOUS DISEASES - SCIE	5.578	Q1	1.25
ACM Transactions on Sensor Networks	1550-4859	1550-4867	COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE$TELECOMMUNICATIONS - SCIE	2.560	Q3	0.71
INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT	0948-3349	1614-7502	ENGINEERING, ENVIRONMENTAL - SCIE$ENVIRONMENTAL SCIENCES - SCIE	5.257	Q2	0.68
Journal of Pediatric and Adolescent Gynecology	1083-3188	1873-4332	OBSTETRICS & GYNECOLOGY - SCIE$PEDIATRICS - SCIE	2.046	Q3	0.73
JOURNAL OF MOLECULAR DIAGNOSTICS	1525-1578	1943-7811	PATHOLOGY - SCIE	5.341	Q1	1.67
ACTA NEUROPSYCHIATRICA	1601-5215	1601-5215	NEUROSCIENCES - SCIE$PSYCHIATRY - SCIE	4.513	Q2	0.61
