Journal-name	ISSN	eISSN	category	2021-JIF	JIF-Quartile	2021-JCI
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health	N/A	2214-7829	PSYCHOLOGY, CLINICAL - SSCI	5.358	Q1	1.19
International Journal of Science and Mathematics Education	1571-0068	1573-1774	EDUCATION & EDUCATIONAL RESEARCH - SSCI	2.051	Q3	1.23
EVALUATION AND PROGRAM PLANNING	0149-7189	1873-7870	SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	1.886	Q3	1.13
SCOTTISH HISTORICAL REVIEW	0036-9241	1750-0222	HISTORY - SSCI	0.441	Q3	1.39
SOUTHERN ECONOMIC JOURNAL	0038-4038	2325-8012	ECONOMICS - SSCI	1.333	Q3	0.50
Slovo a Slovesnost	0037-7031	N/A	LINGUISTICS - SSCI	0.227	Q4	0.18
Supreme Court Review	0081-9557	N/A	LAW - SSCI	1.571	Q2	0.67
Journal of Derivatives	1074-1240	2168-8524	BUSINESS, FINANCE - SSCI	0.647	Q4	0.22
Asian-Pacific Economic Literature	0818-9935	1467-8411	ECONOMICS - SSCI	0.600	Q4	0.26
STANFORD LAW REVIEW	0038-9765	N/A	LAW - SSCI	5.040	Q1	4.34
FEMINISM & PSYCHOLOGY	0959-3535	1461-7161	PSYCHOLOGY, MULTIDISCIPLINARY - SSCI$WOMENS STUDIES - SSCI	5.833	Q1	1.94
SECURITY STUDIES	0963-6412	1556-1852	INTERNATIONAL RELATIONS - SSCI	3.032	Q1	1.33
Exceptionality	0936-2835	1532-7035	EDUCATION, SPECIAL - SSCI	1.253	Q4	0.83
Gestion y Politica Publica	1405-1079	N/A	PUBLIC ADMINISTRATION - SSCI	0.733	Q4	0.12
Cyberpsychology-Journal of Psychosocial Research on Cyberspace	1802-7962	1802-7962	COMMUNICATION - SSCI$PSYCHOLOGY, MULTIDISCIPLINARY - SSCI	3.708	Q2	1.14
SOCIETY & NATURAL RESOURCES	0894-1920	1521-0723	DEVELOPMENT STUDIES - SSCI$ENVIRONMENTAL STUDIES - SSCI$REGIONAL & URBAN PLANNING - SSCI$SOCIOLOGY - SSCI	3.024	Q2	0.83
SCANDINAVIAN JOURNAL OF PSYCHOLOGY	0036-5564	1467-9450	PSYCHOLOGY, MULTIDISCIPLINARY - SSCI	2.312	Q3	0.76
Israel Journal of Health Policy Research	2045-4015	2045-4015	HEALTH POLICY & SERVICES - SSCI$PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	2.465	Q3	0.69
Research in Developmental Disabilities	0891-4222	1873-3379	EDUCATION, SPECIAL - SSCI$REHABILITATION - SSCI	3.000	Q1	1.46
Critical Care Nurse	0279-5442	1940-8250	NURSING - SSCI	2.192	Q2	0.62
Journal of Women Politics & Policy	1554-477X	1554-4788	POLITICAL SCIENCE - SSCI$WOMENS STUDIES - SSCI	1.358	Q3	0.83
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY	1064-7481	1545-7214	GERONTOLOGY - SSCI$PSYCHIATRY - SSCI	7.996	Q1	1.48
CONTEMPORARY ECONOMIC POLICY	1074-3529	1465-7287	ECONOMICS - SSCI$PUBLIC ADMINISTRATION - SSCI	1.212	Q4	0.43
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE	1086-4415	1557-9301	BUSINESS - SSCI	7.730	Q2	1.41
MIDWIFERY	0266-6138	1532-3099	NURSING - SSCI	2.640	Q1	1.23
COGNITIVE PSYCHOLOGY	0010-0285	1095-5623	PSYCHOLOGY, EXPERIMENTAL - SSCI	3.746	Q2	1.11
Finance Research Letters	1544-6123	1544-6131	BUSINESS, FINANCE - SSCI	9.846	Q1	3.01
ADVANCES IN NURSING SCIENCE	0161-9268	1550-5014	NURSING - SSCI	2.147	Q2	0.95
European Management Review	1740-4754	1740-4762	MANAGEMENT - SSCI	3.000	Q3	0.71
Communication Disorders Quarterly	1525-7401	1538-4837	REHABILITATION - SSCI	0.764	Q4	0.50
Indian Journal of Public Health	0019-557X	2229-7693	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	2.219	Q3	0.45
INTERNATIONAL JOURNAL OF LEXICOGRAPHY	0950-3846	1477-4577	LINGUISTICS - SSCI	0.652	Q4	0.74
Revista Espanola de Salud Publica	1135-5727	2173-9110	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	1.333	Q4	0.16
ISRAEL JOURNAL OF PSYCHIATRY AND RELATED SCIENCES	0333-7308	0333-7308	PSYCHIATRY - SSCI	0.244	Q4	0.11
PSYCHIATRY RESEARCH	0165-1781	1872-7123	PSYCHIATRY - SSCI	11.225	Q1	1.46
JOURNAL OF TECHNOLOGY TRANSFER	0892-9912	1573-7047	MANAGEMENT - SSCI	5.337	Q2	1.11
Marketing Intelligence & Planning	0263-4503	1758-8049	BUSINESS - SSCI	4.338	Q3	0.81
EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY	1064-1297	1936-2293	PSYCHOLOGY, BIOLOGICAL - SSCI$PSYCHOLOGY, CLINICAL - SSCI	3.492	Q2	0.86
International Journal of Shipping and Transport Logistics	1756-6517	1756-6525	MANAGEMENT - SSCI$TRANSPORTATION - SSCI	1.264	Q4	0.33
Journal of Innovation & Knowledge	2530-7614	2444-569X	BUSINESS - SSCI$MANAGEMENT - SSCI	11.219	Q1	2.56
JUSTICE SYSTEM JOURNAL	0098-261X	2327-7556	LAW - SSCI	0.707	Q4	0.71
ISSUES IN SCIENCE AND TECHNOLOGY	0748-5492	1938-1557	SOCIAL ISSUES - SSCI	1.649	Q3	0.25
BRAIN INJURY	0269-9052	1362-301X	REHABILITATION - SSCI	2.167	Q2	0.66
DEPRESSION AND ANXIETY	1091-4269	1520-6394	PSYCHIATRY - SSCI$PSYCHOLOGY, CLINICAL - SSCI	8.128	Q1	1.80
Global Policy	1758-5880	1758-5899	INTERNATIONAL RELATIONS - SSCI$POLITICAL SCIENCE - SSCI	2.375	Q2	0.99
JOURNAL OF CONSCIOUSNESS STUDIES	1355-8250	N/A	SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI	1.361	Q3	1.43
Cartography and Geographic Information Science	1523-0406	1545-0465	GEOGRAPHY - SSCI	2.354	Q3	1.00
JOURNAL OF SOUTHEAST ASIAN STUDIES	0022-4634	1474-0680	AREA STUDIES - SSCI	0.673	Q4	0.94
JOURNAL OF AGRICULTURAL ECONOMICS	0021-857X	1477-9552	ECONOMICS - SSCI	4.163	Q1	1.44
FAMILY & COMMUNITY HEALTH	0160-6379	1550-5057	FAMILY STUDIES - SSCI$PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	2.017	Q2	0.58
INTERNATIONAL MARKETING REVIEW	0265-1335	1758-6763	BUSINESS - SSCI	5.774	Q2	1.04
Revista Espanola de Derecho Constitucional	0211-5743	1989-0648	LAW - SSCI	1.155	Q3	0.16
STUDIES IN SECOND LANGUAGE ACQUISITION	0272-2631	1470-1545	LINGUISTICS - SSCI	4.730	Q1	2.73
Pain Management Nursing	1524-9042	1532-8635	NURSING - SSCI	2.356	Q2	1.11
Energy Efficiency	1570-646X	1570-6478	ENVIRONMENTAL STUDIES - SSCI$GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI	3.134	Q3	0.50
JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE	1078-4659	1550-5022	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI	2.657	Q3	0.66
BEHAVIORAL INTERVENTIONS	1072-0847	1099-078X	PSYCHOLOGY, CLINICAL - SSCI	1.269	Q4	0.33
European Review	1062-7987	1474-0575	AREA STUDIES - SSCI	0.521	Q4	0.55
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION	0278-7393	1939-1285	PSYCHOLOGY, EXPERIMENTAL - SSCI	3.140	Q2	1.04
INTERNATIONAL JOURNAL OF GROUP PSYCHOTHERAPY	0020-7284	1943-2836	PSYCHOLOGY, CLINICAL - SSCI	0.907	Q4	0.21
Journal of Sports Economics	1527-0025	1552-7794	ECONOMICS - SSCI$HOSPITALITY, LEISURE, SPORT & TOURISM - SSCI	1.848	Q3	0.68
Health Economics Policy and Law	1744-1331	1744-134X	HEALTH POLICY & SERVICES - SSCI	2.516	Q3	1.06
Engineering Management Journal	1042-9247	2377-0643	MANAGEMENT - SSCI	2.548	Q4	0.44
GEOGRAFISKA ANNALER SERIES B-HUMAN GEOGRAPHY	0435-3684	1468-0467	GEOGRAPHY - SSCI	2.450	Q3	0.70
European Political Science	1680-4333	1682-0983	POLITICAL SCIENCE - SSCI	2.436	Q2	0.89
SOCIETY	0147-2011	1936-4725	SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI$SOCIOLOGY - SSCI	0.979	Q4	0.21
Journal of Transportation Safety & Security	1943-9962	1943-9970	TRANSPORTATION - SSCI	2.825	Q4	0.71
INTERNATIONAL JOURNAL OF MANPOWER	0143-7720	1758-6577	INDUSTRIAL RELATIONS & LABOR - SSCI$MANAGEMENT - SSCI	3.295	Q2	0.94
